business_name,niche,city_search,website_url,website_score,validated_phone,validated_email,facebook_url,instagram_url,status
Sheep Dogg,Mississippi,"Gulfport, MS",None,1,228-219-1275,N/A,https://www.facebook.com/search/top/?q=Sheep%20Dogg%20Gulfport,,NO_WEBSITE
Ricky's Barbershop,Mississippi,"Gulfport, MS",None,1,504-352-2225,N/A,https://www.facebook.com/search/top/?q=Ricky%27s%20Barbershop%20Gulfport,,NO_WEBSITE
Mr Lean Cuts,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Mr%20Lean%20Cuts%20Gulfport,,NO_WEBSITE
Chop Shop barber/beauty,Mississippi,"Gulfport, MS",None,1,(662) 614-9595,N/A,https://www.facebook.com/search/top/?q=Chop%20Shop%20barber/beauty%20Gulfport,,NO_WEBSITE
Civil Savage Lounge,Mississippi,"Gulfport, MS",None,1,727-331-5257,N/A,https://www.facebook.com/search/top/?q=Civil%20Savage%20Lounge%20Gulfport,,NO_WEBSITE
Faith@Work,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Faith%40Work%20Gulfport,,NO_WEBSITE
Defined Kutz JRushdaBarber,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Defined%20Kutz%20JRushdaBarber%20Gulfport,,NO_WEBSITE
KyBlendz,Mississippi,"Gulfport, MS",None,1,228-234-9396,N/A,https://www.facebook.com/search/top/?q=KyBlendz%20Gulfport,,NO_WEBSITE
King Diamond Blendz,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=King%20Diamond%20Blendz%20Gulfport,,NO_WEBSITE
SanIAmCJZ-TheBarber,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=SanIAmCJZ-TheBarber%20Gulfport,,NO_WEBSITE
Cutz by KC,Mississippi,"Gulfport, MS",None,1,228-697-9836,N/A,https://www.facebook.com/search/top/?q=Cutz%20by%20KC%20Gulfport,,NO_WEBSITE
Razors Edge Barbershop,Mississippi,"Biloxi, MS",None,1,228-435-6149,N/A,https://www.facebook.com/search/top/?q=Razors%20Edge%20Barbershop%20Biloxi,,NO_WEBSITE
TheHeavenlyCutz,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=TheHeavenlyCutz%20Biloxi,,NO_WEBSITE
The Gentleman's Blade Biloxi,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=The%20Gentleman%27s%20Blade%20Biloxi%20Biloxi,,NO_WEBSITE
Chester's Professional Barbering,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Chester%27s%20Professional%20Barbering%20Biloxi,,NO_WEBSITE
Trendsetters 307 Barbershop,Mississippi,"Biloxi, MS",None,1,228-249-0071,N/A,https://www.facebook.com/search/top/?q=Trendsetters%20307%20Barbershop%20Biloxi,,NO_WEBSITE
DC Studio,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=DC%20Studio%20Biloxi,,NO_WEBSITE
OmiiBarber,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=OmiiBarber%20Biloxi,,NO_WEBSITE
Danes Barber Shop,Mississippi,"Biloxi, MS",None,1,228-374-9991,N/A,https://www.facebook.com/search/top/?q=Danes%20Barber%20Shop%20Biloxi,,NO_WEBSITE
LV Sports Barber,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=LV%20Sports%20Barber%20Biloxi,,NO_WEBSITE
WHO DAT BARBERSHOP,Mississippi,"Biloxi, MS",None,1,(228) 238-7343,N/A,https://www.facebook.com/search/top/?q=WHO%20DAT%20BARBERSHOP%20Biloxi,,NO_WEBSITE
NuKutz,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=NuKutz%20Biloxi,,NO_WEBSITE
Calvary Cuts/Tim Holmes,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Calvary%20Cuts/Tim%20Holmes%20Biloxi,,NO_WEBSITE
Xclusive Cutz Barbershop,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Xclusive%20Cutz%20Barbershop%20Oxford,,NO_WEBSITE
Perfect kuz,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Perfect%20kuz%20Oxford,,NO_WEBSITE
FadedByJonez,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=FadedByJonez%20Oxford,,NO_WEBSITE
Authentique,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Authentique%20Oxford,,NO_WEBSITE
Phillips Building Supply,Mississippi,"Gulfport, MS",None,1,228-868-1101,N/A,https://www.facebook.com/search/top/?q=Phillips%20Building%20Supply%20Gulfport,,NO_WEBSITE
Ellzey's Hardware,Mississippi,"Biloxi, MS",None,1,(228) 436-6314,N/A,https://www.facebook.com/search/top/?q=Ellzey%27s%20Hardware%20Biloxi,,NO_WEBSITE
Lofland Al Tools & Hardware Supplies,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Lofland%20Al%20Tools%20%26%20Hardware%20Supplies%20Biloxi,,NO_WEBSITE
Seamless Gutters Tools & Hardware Supplies,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Seamless%20Gutters%20Tools%20%26%20Hardware%20Supplies%20Biloxi,,NO_WEBSITE
Pass Road Hardware,Mississippi,"Biloxi, MS",None,1,(228) 432-0736,N/A,https://www.facebook.com/search/top/?q=Pass%20Road%20Hardware%20Biloxi,,NO_WEBSITE
True Value Hardware Store,Mississippi,"Oxford, MS",None,1,(662) 607-2830,N/A,https://www.facebook.com/search/top/?q=True%20Value%20Hardware%20Store%20Oxford,,NO_WEBSITE
Moore's Building Supplies,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Moore%27s%20Building%20Supplies%20Oxford,,NO_WEBSITE
Coastal Hardware & Rental,Mississippi,"Gulfport, MS",None,1,228-586-1379,N/A,https://www.facebook.com/search/top/?q=Coastal%20Hardware%20%26%20Rental%20Gulfport,,NO_WEBSITE
Snappers Seafood Biloxi,Mississippi,"Biloxi, MS",None,1,(228) 374-7962,N/A,https://www.facebook.com/search/top/?q=Snappers%20Seafood%20Biloxi%20Biloxi,,NO_WEBSITE
McElroy's Harbor House,Mississippi,"Biloxi, MS",None,1,(228) 435-5001,N/A,https://www.facebook.com/search/top/?q=McElroy%27s%20Harbor%20House%20Biloxi,,NO_WEBSITE
Mack's On the River,Mississippi,"Gulfport, MS",None,1,601-582-5101,gary@macksontheriver.com,https://www.facebook.com/search/top/?q=Mack%27s%20On%20the%20River%20Gulfport,,NO_WEBSITE
Catfish Country,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Catfish%20Country%20Oxford,,NO_WEBSITE
Crawfish Haven Seafood,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Crawfish%20Haven%20Seafood%20Gulfport,,NO_WEBSITE
Crazy Lu Seafood Shack,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Crazy%20Lu%20Seafood%20Shack%20Biloxi,,NO_WEBSITE
Crossroads Seafood,Mississippi,"Oxford, MS",None,1,(662) 469-9188,N/A,https://www.facebook.com/search/top/?q=Crossroads%20Seafood%20Oxford,,NO_WEBSITE
Flava Shack Seafood,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Flava%20Shack%20Seafood%20Gulfport,,NO_WEBSITE
Lobster King Cajun Seafood & Wings,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Lobster%20King%20Cajun%20Seafood%20%26%20Wings%20Biloxi,,NO_WEBSITE
Shucker's Oyster Bar,Mississippi,"Oxford, MS",None,1,(601) 853-0105,N/A,https://www.facebook.com/search/top/?q=Shucker%27s%20Oyster%20Bar%20Oxford,,NO_WEBSITE
Flights Fish and Wings Restaurant,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Flights%20Fish%20and%20Wings%20Restaurant%20Gulfport,,NO_WEBSITE
The Chimneys Restaurant,Mississippi,"Gulfport, MS",None,1,228-863-7604,N/A,https://www.facebook.com/search/top/?q=The%20Chimneys%20Restaurant%20Gulfport,,NO_WEBSITE
Birch Hill Sugarworks,Vermont,"Montpelier, VT",None,1,+1 802-760-7350,N/A,https://www.facebook.com/search/top/?q=Birch%20Hill%20Sugarworks%20Montpelier,,NO_WEBSITE
Bixby Hill Sugarhouse,Vermont,"Burlington, VT",None,1,(802) 343-0259,N/A,https://www.facebook.com/search/top/?q=Bixby%20Hill%20Sugarhouse%20Burlington,,NO_WEBSITE
Black Bear Farm,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Black%20Bear%20Farm%20Brattleboro,,NO_WEBSITE
Black Bear Maple,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Black%20Bear%20Maple%20Montpelier,,NO_WEBSITE
Black Creek Maple,Vermont,"Burlington, VT",None,1,802-644-6597,info@blackcreekmaple.com,https://www.facebook.com/search/top/?q=Black%20Creek%20Maple%20Burlington,,NO_WEBSITE
Blackberry Hill Horse Logging and Maple Syrup,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blackberry%20Hill%20Horse%20Logging%20and%20Maple%20Syrup%20Brattleboro,,NO_WEBSITE
Blacksheep Organics LLC,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blacksheep%20Organics%20LLC%20Montpelier,,NO_WEBSITE
Blakeslee,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blakeslee%20Burlington,,NO_WEBSITE
Blue Bird Ridge Tree Farm,Vermont,"Brattleboro, VT",None,1,1-800-269-9151,N/A,https://www.facebook.com/search/top/?q=Blue%20Bird%20Ridge%20Tree%20Farm%20Brattleboro,,NO_WEBSITE
Bolton Mountain Maple Farm LLC,Vermont,"Montpelier, VT",None,1,(802) 864-0552,chuckbolton@comcast.net,https://www.facebook.com/search/top/?q=Bolton%20Mountain%20Maple%20Farm%20LLC%20Montpelier,,NO_WEBSITE
Bonum Natura LLC,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Bonum%20Natura%20LLC%20Burlington,,NO_WEBSITE
Booth Family Sugar House,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Booth%20Family%20Sugar%20House%20Brattleboro,,NO_WEBSITE
Borland Farm,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Borland%20Farm%20Montpelier,,NO_WEBSITE
Bouchard Family Dairy LLC,Vermont,"Burlington, VT",None,1,(802) 782-5944,N/A,https://www.facebook.com/search/top/?q=Bouchard%20Family%20Dairy%20LLC%20Burlington,,NO_WEBSITE
Bourdon Maple Farm,Vermont,"Brattleboro, VT",None,1,(802) 300-3203,info@bourdonmaple.com,https://www.facebook.com/search/top/?q=Bourdon%20Maple%20Farm%20Brattleboro,,NO_WEBSITE
Bragg Farm Sugarhouse & Gift Shop,Vermont,"Montpelier, VT",None,1,(802) 223-5757,braggfarmsugarhouse@aol.com,https://www.facebook.com/search/top/?q=Bragg%20Farm%20Sugarhouse%20%26%20Gift%20Shop%20Montpelier,,NO_WEBSITE
Branon Family Maple Orchards LLC,Vermont,"Burlington, VT",None,1,(802) 827-3914,info@branonmaple.com,https://www.facebook.com/search/top/?q=Branon%20Family%20Maple%20Orchards%20LLC%20Burlington,,NO_WEBSITE
Branon's Barrywilde Maples LLC,Vermont,"Brattleboro, VT",None,1,+1 802-309-4773,barrywildemaples@gmail.com,https://www.facebook.com/search/top/?q=Branon%27s%20Barrywilde%20Maples%20LLC%20Brattleboro,,NO_WEBSITE
Bread Loaf View Farm,Vermont,"Montpelier, VT",None,1,(802) 349-1755,info@breadloafviewfarm.com,https://www.facebook.com/search/top/?q=Bread%20Loaf%20View%20Farm%20Montpelier,,NO_WEBSITE
Breezy Lane Sugarworks,Vermont,"Burlington, VT",None,1,(802) 377-1066,N/A,https://www.facebook.com/search/top/?q=Breezy%20Lane%20Sugarworks%20Burlington,,NO_WEBSITE
Broken Saw Maple,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Broken%20Saw%20Maple%20Brattleboro,,NO_WEBSITE
Brookfield Bees,Vermont,"Montpelier, VT",None,1,+1 802-276-3808,Brookfieldbees@gmail.com,https://www.facebook.com/search/top/?q=Brookfield%20Bees%20Montpelier,,NO_WEBSITE
Browns River Maple LLC,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Browns%20River%20Maple%20LLC%20Burlington,,NO_WEBSITE
Buck Family Maple Farm,Vermont,"Brattleboro, VT",None,1,802-244-8792,info@buckfamilymaple.com,https://www.facebook.com/search/top/?q=Buck%20Family%20Maple%20Farm%20Brattleboro,,NO_WEBSITE
Buck Mountain Maple Bee & Tree Farm,Vermont,"Montpelier, VT",None,1,N/A,Buckmtnmaplefarm@gmail.com,https://www.facebook.com/search/top/?q=Buck%20Mountain%20Maple%20Bee%20%26%20Tree%20Farm%20Montpelier,,NO_WEBSITE
Burke Mt Maple Company,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Burke%20Mt%20Maple%20Company%20Burlington,,NO_WEBSITE
Butternut Mountain Farm,Vermont,"Brattleboro, VT",None,1,1 (800) 828-2376,N/A,https://www.facebook.com/search/top/?q=Butternut%20Mountain%20Farm%20Brattleboro,,NO_WEBSITE
Carman Brook Farm LLC,Vermont,"Montpelier, VT",None,1,802-868-2347,Karen@cbmaplefarm.com,https://www.facebook.com/search/top/?q=Carman%20Brook%20Farm%20LLC%20Montpelier,,NO_WEBSITE
George Ainley,Vermont,"Burlington, VT",None,1,(802) 263-5217,ainley.geo@gmail.com,https://www.facebook.com/search/top/?q=George%20Ainley%20Burlington,,NO_WEBSITE
Jim Becker,Vermont,"Brattleboro, VT",None,1,802-295-7004,jim@jasbecker.com,https://www.facebook.com/search/top/?q=Jim%20Becker%20Brattleboro,,NO_WEBSITE
Richard Bissell,Vermont,"Montpelier, VT",None,1,802-884-2725,richard@bissellwoodworking.com,https://www.facebook.com/search/top/?q=Richard%20Bissell%20Montpelier,,NO_WEBSITE
David Boynton,Vermont,"Burlington, VT",None,1,802-454-7387,dboynton@ezcloud.com,https://www.facebook.com/search/top/?q=David%20Boynton%20Burlington,,NO_WEBSITE
Jason Breen,Vermont,"Brattleboro, VT",None,1,802-257-9993,jasonebreen@gmail.com,https://www.facebook.com/search/top/?q=Jason%20Breen%20Brattleboro,,NO_WEBSITE
Timothy Clark,Vermont,"Montpelier, VT",None,1,802-989-3204,tim@timothyclark.com,https://www.facebook.com/search/top/?q=Timothy%20Clark%20Montpelier,,NO_WEBSITE
BR Delaney,Vermont,"Burlington, VT",None,1,717-368-3067,br@fieldstonearts.com,https://www.facebook.com/search/top/?q=BR%20Delaney%20Burlington,,NO_WEBSITE
Eric Diven,Vermont,"Brattleboro, VT",None,1,(937) 602-9271,eric@longwalkwoodworking.com,https://www.facebook.com/search/top/?q=Eric%20Diven%20Brattleboro,,NO_WEBSITE
Nick English,Vermont,"Montpelier, VT",None,1,(804) 687-2523,hello@petiteandenglish.com,https://www.facebook.com/search/top/?q=Nick%20English%20Montpelier,,NO_WEBSITE
Chris Ericson,Vermont,"Burlington, VT",None,1,802-380-2392,chris@chrisericsonfurniture.com,https://www.facebook.com/search/top/?q=Chris%20Ericson%20Burlington,,NO_WEBSITE
Bob Gasperetti,Vermont,"Brattleboro, VT",None,1,802-293-5195,bob@gasperetti.com,https://www.facebook.com/search/top/?q=Bob%20Gasperetti%20Brattleboro,,NO_WEBSITE
Greg Goodman,Vermont,"Montpelier, VT",None,1,802-451-8911,gcabmak@gmail.com,https://www.facebook.com/search/top/?q=Greg%20Goodman%20Montpelier,,NO_WEBSITE
David Hurwitz,Vermont,"Burlington, VT",None,1,802-728-9399,dho@davidhurwitzoriginals.com,https://www.facebook.com/search/top/?q=David%20Hurwitz%20Burlington,,NO_WEBSITE
David Lewis,Vermont,"Brattleboro, VT",None,1,802-377-5209,david@lewiswoodshop.com,https://www.facebook.com/search/top/?q=David%20Lewis%20Brattleboro,,NO_WEBSITE
John Lomas,Vermont,"Montpelier, VT",None,1,802-747-8564,johnlomasfurniture@gmail.com,https://www.facebook.com/search/top/?q=John%20Lomas%20Montpelier,,NO_WEBSITE
Ward Joyce Design,Vermont,"Burlington, VT",None,1,802-522-0150,wardjoyce1@hotmail.com,https://www.facebook.com/search/top/?q=Ward%20Joyce%20Design%20Burlington,,NO_WEBSITE
JH Design Build,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=JH%20Design%20Build%20Brattleboro,,NO_WEBSITE
Anomal Design + Fabrication,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Anomal%20Design%20%2B%20Fabrication%20Montpelier,,NO_WEBSITE
Arocordis Design,Vermont,"Burlington, VT",None,1,802-448-0056,info@arocordisdesign.com,https://www.facebook.com/search/top/?q=Arocordis%20Design%20Burlington,,NO_WEBSITE
Ecolibrium LLC,Vermont,"Brattleboro, VT",None,1,802-522-5840,N/A,https://www.facebook.com/search/top/?q=Ecolibrium%20LLC%20Brattleboro,,NO_WEBSITE
Montpelier Construction L.L.C.,Vermont,"Montpelier, VT",None,1,(802) 229-6575,info@montpelierconstruction.com,https://www.facebook.com/search/top/?q=Montpelier%20Construction%20L.L.C.%20Montpelier,,NO_WEBSITE
Cabot Creamery,Vermont,"Burlington, VT",None,1,800-837-4261,info@cabotcheese.com,https://www.facebook.com/search/top/?q=Cabot%20Creamery%20Burlington,,NO_WEBSITE
