business_name,niche,city_search,website_url,website_score,validated_phone,validated_email,facebook_url,instagram_url,status,email_status,email_reason
SanIAmCJZ-TheBarber,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=SanIAmCJZ-TheBarber%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Cutz by KC,Mississippi,"Gulfport, MS",None,1,228-697-9836,N/A,https://www.facebook.com/search/top/?q=Cutz%20by%20KC%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Razors Edge Barbershop,Mississippi,"Biloxi, MS",None,1,228-435-6149,N/A,https://www.facebook.com/search/top/?q=Razors%20Edge%20Barbershop%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
TheHeavenlyCutz,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=TheHeavenlyCutz%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
The Gentleman's Blade Biloxi,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=The%20Gentleman%27s%20Blade%20Biloxi%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Chester's Professional Barbering,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Chester%27s%20Professional%20Barbering%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Trendsetters 307 Barbershop,Mississippi,"Biloxi, MS",None,1,228-249-0071,N/A,https://www.facebook.com/search/top/?q=Trendsetters%20307%20Barbershop%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
DC Studio,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=DC%20Studio%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
OmiiBarber,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=OmiiBarber%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Danes Barber Shop,Mississippi,"Biloxi, MS",None,1,228-374-9991,N/A,https://www.facebook.com/search/top/?q=Danes%20Barber%20Shop%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
LV Sports Barber,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=LV%20Sports%20Barber%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
WHO DAT BARBERSHOP,Mississippi,"Biloxi, MS",None,1,(228) 238-7343,N/A,https://www.facebook.com/search/top/?q=WHO%20DAT%20BARBERSHOP%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
NuKutz,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=NuKutz%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Calvary Cuts/Tim Holmes,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Calvary%20Cuts/Tim%20Holmes%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Xclusive Cutz Barbershop,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Xclusive%20Cutz%20Barbershop%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Perfect kuz,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Perfect%20kuz%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
FadedByJonez,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=FadedByJonez%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Authentique,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Authentique%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Phillips Building Supply,Mississippi,"Gulfport, MS",None,1,228-868-1101,N/A,https://www.facebook.com/search/top/?q=Phillips%20Building%20Supply%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Ellzey's Hardware,Mississippi,"Biloxi, MS",None,1,(228) 436-6314,N/A,https://www.facebook.com/search/top/?q=Ellzey%27s%20Hardware%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Lofland Al Tools & Hardware Supplies,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Lofland%20Al%20Tools%20%26%20Hardware%20Supplies%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Seamless Gutters Tools & Hardware Supplies,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Seamless%20Gutters%20Tools%20%26%20Hardware%20Supplies%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Pass Road Hardware,Mississippi,"Biloxi, MS",None,1,(228) 432-0736,N/A,https://www.facebook.com/search/top/?q=Pass%20Road%20Hardware%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
True Value Hardware Store,Mississippi,"Oxford, MS",None,1,(662) 607-2830,N/A,https://www.facebook.com/search/top/?q=True%20Value%20Hardware%20Store%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Moore's Building Supplies,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Moore%27s%20Building%20Supplies%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Coastal Hardware & Rental,Mississippi,"Gulfport, MS",None,1,228-586-1379,N/A,https://www.facebook.com/search/top/?q=Coastal%20Hardware%20%26%20Rental%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Snappers Seafood Biloxi,Mississippi,"Biloxi, MS",None,1,(228) 374-7962,N/A,https://www.facebook.com/search/top/?q=Snappers%20Seafood%20Biloxi%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
McElroy's Harbor House,Mississippi,"Biloxi, MS",None,1,(228) 435-5001,N/A,https://www.facebook.com/search/top/?q=McElroy%27s%20Harbor%20House%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Catfish Country,Mississippi,"Oxford, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Catfish%20Country%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Crawfish Haven Seafood,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Crawfish%20Haven%20Seafood%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Crazy Lu Seafood Shack,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Crazy%20Lu%20Seafood%20Shack%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Crossroads Seafood,Mississippi,"Oxford, MS",None,1,(662) 469-9188,N/A,https://www.facebook.com/search/top/?q=Crossroads%20Seafood%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Flava Shack Seafood,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Flava%20Shack%20Seafood%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Lobster King Cajun Seafood & Wings,Mississippi,"Biloxi, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Lobster%20King%20Cajun%20Seafood%20%26%20Wings%20Biloxi,,NO_WEBSITE,BAD,Missing / N/A
Shucker's Oyster Bar,Mississippi,"Oxford, MS",None,1,(601) 853-0105,N/A,https://www.facebook.com/search/top/?q=Shucker%27s%20Oyster%20Bar%20Oxford,,NO_WEBSITE,BAD,Missing / N/A
Flights Fish and Wings Restaurant,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Flights%20Fish%20and%20Wings%20Restaurant%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
The Chimneys Restaurant,Mississippi,"Gulfport, MS",None,1,228-863-7604,N/A,https://www.facebook.com/search/top/?q=The%20Chimneys%20Restaurant%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Birch Hill Sugarworks,Vermont,"Montpelier, VT",None,1,+1 802-760-7350,N/A,https://www.facebook.com/search/top/?q=Birch%20Hill%20Sugarworks%20Montpelier,,NO_WEBSITE,BAD,Missing / N/A
Bixby Hill Sugarhouse,Vermont,"Burlington, VT",None,1,(802) 343-0259,N/A,https://www.facebook.com/search/top/?q=Bixby%20Hill%20Sugarhouse%20Burlington,,NO_WEBSITE,BAD,Missing / N/A
Black Bear Farm,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Black%20Bear%20Farm%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Black Bear Maple,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Black%20Bear%20Maple%20Montpelier,,NO_WEBSITE,BAD,Missing / N/A
Black Creek Maple,Vermont,"Burlington, VT",None,1,802-644-6597,info@blackcreekmaple.com,https://www.facebook.com/search/top/?q=Black%20Creek%20Maple%20Burlington,,NO_WEBSITE,BAD,Generic prefix (info@)
Blackberry Hill Horse Logging and Maple Syrup,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blackberry%20Hill%20Horse%20Logging%20and%20Maple%20Syrup%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Blacksheep Organics LLC,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blacksheep%20Organics%20LLC%20Montpelier,,NO_WEBSITE,BAD,Missing / N/A
Blakeslee,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blakeslee%20Burlington,,NO_WEBSITE,BAD,Missing / N/A
Blue Bird Ridge Tree Farm,Vermont,"Brattleboro, VT",None,1,1-800-269-9151,N/A,https://www.facebook.com/search/top/?q=Blue%20Bird%20Ridge%20Tree%20Farm%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Bonum Natura LLC,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Bonum%20Natura%20LLC%20Burlington,,NO_WEBSITE,BAD,Missing / N/A
Booth Family Sugar House,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Booth%20Family%20Sugar%20House%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Borland Farm,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Borland%20Farm%20Montpelier,,NO_WEBSITE,BAD,Missing / N/A
Bouchard Family Dairy LLC,Vermont,"Burlington, VT",None,1,(802) 782-5944,N/A,https://www.facebook.com/search/top/?q=Bouchard%20Family%20Dairy%20LLC%20Burlington,,NO_WEBSITE,BAD,Missing / N/A
Bourdon Maple Farm,Vermont,"Brattleboro, VT",None,1,(802) 300-3203,info@bourdonmaple.com,https://www.facebook.com/search/top/?q=Bourdon%20Maple%20Farm%20Brattleboro,,NO_WEBSITE,BAD,Generic prefix (info@)
Branon Family Maple Orchards LLC,Vermont,"Burlington, VT",None,1,(802) 827-3914,info@branonmaple.com,https://www.facebook.com/search/top/?q=Branon%20Family%20Maple%20Orchards%20LLC%20Burlington,,NO_WEBSITE,BAD,Generic prefix (info@)
Bread Loaf View Farm,Vermont,"Montpelier, VT",None,1,(802) 349-1755,info@breadloafviewfarm.com,https://www.facebook.com/search/top/?q=Bread%20Loaf%20View%20Farm%20Montpelier,,NO_WEBSITE,BAD,Generic prefix (info@)
Breezy Lane Sugarworks,Vermont,"Burlington, VT",None,1,(802) 377-1066,N/A,https://www.facebook.com/search/top/?q=Breezy%20Lane%20Sugarworks%20Burlington,,NO_WEBSITE,BAD,Missing / N/A
Broken Saw Maple,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Broken%20Saw%20Maple%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Browns River Maple LLC,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Browns%20River%20Maple%20LLC%20Burlington,,NO_WEBSITE,BAD,Missing / N/A
Buck Family Maple Farm,Vermont,"Brattleboro, VT",None,1,802-244-8792,info@buckfamilymaple.com,https://www.facebook.com/search/top/?q=Buck%20Family%20Maple%20Farm%20Brattleboro,,NO_WEBSITE,BAD,Generic prefix (info@)
Burke Mt Maple Company,Vermont,"Burlington, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Burke%20Mt%20Maple%20Company%20Burlington,,NO_WEBSITE,BAD,Missing / N/A
Butternut Mountain Farm,Vermont,"Brattleboro, VT",None,1,1 (800) 828-2376,N/A,https://www.facebook.com/search/top/?q=Butternut%20Mountain%20Farm%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Nick English,Vermont,"Montpelier, VT",None,1,(804) 687-2523,hello@petiteandenglish.com,https://www.facebook.com/search/top/?q=Nick%20English%20Montpelier,,NO_WEBSITE,BAD,Generic prefix (hello@)
JH Design Build,Vermont,"Brattleboro, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=JH%20Design%20Build%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Anomal Design + Fabrication,Vermont,"Montpelier, VT",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Anomal%20Design%20%2B%20Fabrication%20Montpelier,,NO_WEBSITE,BAD,Missing / N/A
Arocordis Design,Vermont,"Burlington, VT",None,1,802-448-0056,info@arocordisdesign.com,https://www.facebook.com/search/top/?q=Arocordis%20Design%20Burlington,,NO_WEBSITE,BAD,Generic prefix (info@)
Ecolibrium LLC,Vermont,"Brattleboro, VT",None,1,802-522-5840,N/A,https://www.facebook.com/search/top/?q=Ecolibrium%20LLC%20Brattleboro,,NO_WEBSITE,BAD,Missing / N/A
Montpelier Construction L.L.C.,Vermont,"Montpelier, VT",None,1,(802) 229-6575,info@montpelierconstruction.com,https://www.facebook.com/search/top/?q=Montpelier%20Construction%20L.L.C.%20Montpelier,,NO_WEBSITE,BAD,Generic prefix (info@)
Cabot Creamery,Vermont,"Burlington, VT",None,1,800-837-4261,info@cabotcheese.com,https://www.facebook.com/search/top/?q=Cabot%20Creamery%20Burlington,,NO_WEBSITE,BAD,Generic prefix (info@)
